country_region,date,confirmed,deaths,recovered,active,admin2
Liberia,2022-11-06,7996,294,,,
Liberia,2021-01-21,1901,84,1714,103,
Liberia,2020-04-08,31,4,3,24,
Liberia,2022-04-10,7400,294,,,
Liberia,2020-07-03,833,37,346,450,
Liberia,2021-12-21,5929,287,,,
Liberia,2021-09-04,5727,245,,,
Liberia,2021-12-24,5929,287,,,
Liberia,2022-08-26,7732,294,,,
Liberia,2021-02-03,1945,84,1766,95,
Liberia,2021-03-28,2042,85,1899,58,
Liberia,2022-07-16,7504,294,,,
Liberia,2020-08-19,1282,82,803,397,
Liberia,2021-06-11,2484,93,2065,326,
Liberia,2020-08-22,1286,82,816,388,
Liberia,2022-07-08,7500,294,,,
Liberia,2021-11-06,5815,287,,,
Liberia,2020-05-22,249,24,136,89,
Liberia,2022-03-24,7397,294,,,
Liberia,2020-06-22,650,34,260,356,
Liberia,2021-02-18,1985,85,1794,106,
Liberia,2022-11-02,7996,294,,,
Liberia,2020-03-22,3,0,0,3,
Liberia,2021-05-01,2099,85,1949,65,
Liberia,2020-12-27,1779,83,1406,290,
Liberia,2022-10-24,7988,294,,,
Liberia,2021-09-08,5727,245,,,
Liberia,2020-10-27,1419,82,1278,59,
Liberia,2020-11-22,1551,82,1331,138,
Liberia,2020-12-22,1779,83,1406,290,
Liberia,2021-03-13,2030,85,1899,46,
Liberia,2022-09-04,7883,294,,,
Liberia,2021-11-29,5823,287,,,
Liberia,2020-10-14,1372,82,1254,36,
Liberia,2022-05-13,7451,294,,,
Liberia,2022-11-18,8014,294,,,
Liberia,2022-01-13,7121,287,,,
Liberia,2020-07-30,1181,73,667,441,
Liberia,2020-12-14,1676,83,1358,235,
Liberia,2021-05-16,2114,85,1962,67,
Liberia,2020-05-10,199,20,79,100,
Liberia,2022-11-03,7996,294,,,
Liberia,2021-02-19,1988,85,1856,47,
Liberia,2020-11-10,1461,82,1310,69,
Liberia,2022-10-07,7974,294,,,
Liberia,2021-03-27,2042,85,1899,58,
Liberia,2022-07-07,7500,294,,,
Liberia,2021-11-05,5815,287,,,
Liberia,2022-05-19,7455,294,,,
Liberia,2022-10-23,7988,294,,,
Liberia,2021-02-04,1945,84,1766,95,
Liberia,2021-03-12,2030,85,1899,46,
Liberia,2022-09-05,7898,294,,,
Liberia,2021-07-30,5396,148,2715,2533,
Liberia,2022-03-10,7392,294,,,
Liberia,2020-11-26,1591,83,1340,168,
Liberia,2021-04-24,2097,85,1940,72,
Liberia,2021-08-15,5459,148,,,
Liberia,2022-01-22,7208,288,,,
Liberia,2021-09-23,5915,283,,,
